Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Repositories\InventoryRepository.cs	29		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Services\IInventoryService.cs	11		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Services\IInventoryService.cs	12		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Services\InventoryService.cs	47		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Services\InventoryService.cs	50		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\ViewModels\DashboardViewModel.cs	73		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\ViewModels\InventoryViewModel.cs	25		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Views\Dashboard.xaml.cs	78		
Error (active)	CS0246	The type or namespace name 'LowStockVariant' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Views\Dashboard.xaml.cs	82		
Error (active)	CS0246	The type or namespace name 'User' could not be found (are you missing a using directive or an assembly reference?)	AdminSystem	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\AdminSystem\AdminSystem\AdminSystem\Views\Login.xaml.cs	100		
