Severity	Code	Description	Project	File	Line	Suppression State	Details
Warning (active)	CS8618	Non-nullable property 'CloudName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Models\CloudinarySettings.cs	3		
Error (active)	CS1061	'Payment' does not contain a definition for 'Method' and no accessible extension method 'Method' accepting a first argument of type 'Payment' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\OrderDetail.cshtml	6		
Error (active)	CS1061	'Payment' does not contain a definition for 'Status' and no accessible extension method 'Status' accepting a first argument of type 'Payment' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\OrderDetail.cshtml	7		
Error (active)	CS1061	'ProfileViewModel' does not contain a definition for 'Addresses' and no accessible extension method 'Addresses' accepting a first argument of type 'ProfileViewModel' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\Profile.cshtml	87		
Error (active)	CS1061	'ProfileViewModel' does not contain a definition for 'Addresses' and no accessible extension method 'Addresses' accepting a first argument of type 'ProfileViewModel' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\Profile.cshtml	87		
Error (active)	CS1061	'ProfileViewModel' does not contain a definition for 'Addresses' and no accessible extension method 'Addresses' accepting a first argument of type 'ProfileViewModel' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\Profile.cshtml	90		
Error (active)	CS1061	'ProfileViewModel' does not contain a definition for 'ConfirmNewPassword' and no accessible extension method 'ConfirmNewPassword' accepting a first argument of type 'ProfileViewModel' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\Profile.cshtml	69		
Error (active)	CS1061	'ProfileViewModel' does not contain a definition for 'ConfirmNewPassword' and no accessible extension method 'ConfirmNewPassword' accepting a first argument of type 'ProfileViewModel' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\Profile.cshtml	70		
Error (active)	CS1061	'ProfileViewModel' does not contain a definition for 'ConfirmNewPassword' and no accessible extension method 'ConfirmNewPassword' accepting a first argument of type 'ProfileViewModel' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\Profile.cshtml	71		
Error (active)	CS1061	'ProfileViewModel' does not contain a definition for 'CurrentPassword' and no accessible extension method 'CurrentPassword' accepting a first argument of type 'ProfileViewModel' could be found (are you missing a using directive or an assembly reference?)	WebApplication	C:\Users\user\Documents\ANDREI_FILES\PDM_FILES\2ND YEAR\2ND SEM\OOP\OOP-TaurusBikeShop\WebApplication\Views\Customer\Profile.cshtml	59		
